Rank,Term,Term Freq,Probability,Log(rank),Log(probability)
1,the,11033,0.047235768,0,-3.05260388
2,of,9210,0.039430927,0.693147181,-3.233204812
3,a,6523,0.027927029,1.098612289,-3.578160269
4,and,4607,0.019724026,1.386294361,-3.925917776
5,to,3790,0.016226191,1.609437912,-4.121128643
6,is,3728,0.015960749,1.791759469,-4.137622765
7,in,3478,0.01489042,1.945910149,-4.207037246
8,ca,3205,0.01372162,2.079441542,-4.288782572
9,cacm,3204,0.013717339,2.197224577,-4.289094633
10,for,3177,0.013601743,2.302585093,-4.297557307
11,jb,3021,0.012933858,2.397895273,-4.34790676
12,pm,2221,0.009508805,2.48490665,-4.655537117
13,are,1988,0.008511258,2.564949357,-4.766365554
14,march,1831,0.007839091,2.63905733,-4.848632396
15,algorithm,1621,0.006940014,2.708050201,-4.970451419
16,an,1402,0.006002406,2.772588722,-5.115594873
17,on,1272,0.005445835,2.833213344,-5.212904197
18,system,1239,0.005304551,2.890371758,-5.239190059
19,by,1236,0.005291708,2.944438979,-5.241614303
20,computer,1217,0.005210362,2.995732274,-5.257105848
21,be,1201,0.005141861,3.044522438,-5.270340119
22,which,1184,0.005069079,3.091042453,-5.284596126
23,this,1166,0.004992015,3.135494216,-5.299915574
24,with,1129,0.004833607,3.17805383,-5.332162377
25,that,1097,0.004696604,3.218875825,-5.360915481
26,february,1011,0.004328411,3.258096538,-5.442554722
27,am,987,0.00422566,3.295836866,-5.466579902
28,as,961,0.004114345,3.33220451,-5.493275532
29,data,950,0.004067251,3.36729583,-5.504787956
30,january,934,0.00399875,3.401197382,-5.521773503
31,j,911,0.00390028,3.433987204,-5.546707044
32,s,862,0.003690495,3.465735903,-5.60199467
33,program,843,0.00360915,3.496507561,-5.624282983
34,programming,790,0.00338224,3.526360525,-5.689216996
35,r,786,0.003365115,3.555348061,-5.694293149
36,time,783,0.003352271,3.583518938,-5.698117245
37,language,774,0.003313739,3.610917913,-5.709678067
38,method,722,0.003091111,3.63758616,-5.779224802
39,it,719,0.003078267,3.663561646,-5.783388583
40,systems,707,0.003026891,3.688879454,-5.800219275
41,m,619,0.002650135,3.713572067,-5.933144668
42,can,594,0.002543102,3.737669618,-5.974370622
43,d,552,0.002363287,3.761200116,-6.047701895
44,from,535,0.002290504,3.784189634,-6.078983194
45,problem,524,0.00224341,3.80666249,-6.099758257
46,may,521,0.002230566,3.828641396,-6.105499899
47,paper,515,0.002204878,3.850147602,-6.11708304
48,storage,500,0.002140658,3.871201011,-6.146641843
49,information,500,0.002140658,3.891820298,-6.146641843
50,or,499,0.002136377,3.912023005,-6.148643845
51,h,491,0.002102127,3.931825633,-6.164805813
52,c,489,0.002093564,3.951243719,-6.168887452
53,g,469,0.002007938,3.970291914,-6.210647173
54,number,466,0.001995094,3.988984047,-6.217064307
55,e,463,0.00198225,4.007333185,-6.223522887
56,analysis,460,0.001969406,4.025351691,-6.230023452
57,described,457,0.001956562,4.043051268,-6.23656655
58,w,456,0.00195228,4.060443011,-6.238757132
